"holly_name","key_value"
"الله الآخذ ",1398
"الإله",67
"الأول",68
"الأعلى",133
"الأكبر",254
"الأعظم الأعز ",1151
"الأعلم",172
"الأحكم",100
"الأقوى",139
"الأقرب",334
"الأبد",38
"الأمد",76
"الأحد",44
"أرحم الراحمين ",589
"أحكم الحاكمين ",229
"أسرع الحاسبين ",493
"أهل التقوى ",547
"أهل المغفرة ",1392
"البارئ",244
"البديع",117
"البر",233
"الباطن",93
"الباسط",103
"الباعث",604
"الباقي",144
"البرهان",289
"البالغ أمره ",1310
"البالي",74
"البصير",333
"البادي",48
"التواب",440
"الجبار",237
"الجامع",145
"الجليل",104
"الجاعل",135
"الجواد",45
"الجميل",114
"الحليم",119
"الحكيم",109
"الحي",49
"الحسيب",111
"الحفيظ",1029
"الحميد",93
"الحق",139
"الحكم",99
"الحافظ",1020
"الحفي",129
"الحاسب",102
"الحنان",140
"الحاكم",100
"الخافض",1512
"خير الماكرين ",1162
"خير الرازقين ",1209
"خير الناصرين ",1242
"خير الفاصلين ",1102
"خير الوارثين ",1608
"خير المنزلين ",1082
"خير الراحمين ",1150
"خير الحافظين ",1890
"خير الغافرين ",2182
"الدائم",86
"الدهر",240
"الديان",96
"الدارئ",246
"ذو الجلال والإكرام ",1100
"ذو الفضل ",1647
"ذو العرش ",1307
"ذو المعارج ",1051
"ذو الجبروت ",1348
"ذو الملكوت ",1233
"ذو الكبرياء ",370
"ذو العظمة ",1752
"الرحمن",329
"الرحيم",289
"الرزاق",339
"القريب",343
"الرؤوف",329
"الرب",233
"الرافع",382
"الرشيد",536
"الرضا",1032
"الراشد",536
"رابع الثلاثة ",1340
"رفيع الدرجات ",391
"الزارع",309
"السميع",211
"الأسبق",194
"سريع العقاب ",544
"سريع الحساب ",442
"السالم",502
"السخط",300
"السيد",105
"الشكور",557
"الشاكر",552
"الشهيد",350
"الشفيع",491
"الشافي",422
"شديد العقاب ",522
"شديد المحال ",428
"شيء",310
"الصبور",329
"الصادق",226
"الضار",1032
"الطيب",52
"الطبيب",54
"الطاهر",246
"الظاهر",1137
"العزيز",125
"العلام",172
"العالم",172
"العليم",181
"العلي",141
"العظيم",1051
"العدل",135
"العادل",136
"العفو",381
"عدو الكافرين ",472
"عين",130
"الغفور",1317
"الغفار",1312
"الغافر",1312
"الغالب",1064
"الغني",1091
"الغيور",4712
"الفاطر",321
"فالق الحب والنوى ",346
"فالق الإصباح ",344
"الفعال لما يريد ",507
"الفاعل",212
"الفاتن",562
"الفرد",315
"الفاتح",520
"الفتاح",520
"القائم",182
"القيم",181
"القيام",182
"القهار",337
"القاهر",337
"القدوس",201
"القيوم",187
"القادر القدير ",681
"قابل التوب ",572
"القوي",147
"القديم",185
"القاسم",232
"القاصم",262
"الكبير",263
"المستغاث",2032
"الكريم",2468
"الكفيل الكافي ",313
"الكائن",112
"الكاتب",454
"كثير العفو ",588
"اللطيف",160
"المالك",122
"المليك",131
"المستعاذ",1302
"الملك",121
"المؤمن المعاذ ",1015
"المهيمن",176
"المتكبر",693
"المصور",367
"المحيط",98
"المولى ",108
"المجيب",86
"المقيت",581
"المجيد",88
"الماحي",90
"المستعان",652
"المحيي",89
"المثبت",531
"الممين",171
"المتعالي",573
"المستمع",641
"المؤيد",97
"المنيب",133
"المدبر",277
"المنعم",231
"المتفضل",1381
"المدافع",226
"المنير",331
"المنان",172
"الموئل",117
"الماهد",81
"المحسن",189
"المحسان",190
"المملي",151
"المبقي",183
"المزكي",108
"الموجد",84
"المبدع",147
"الوجود",50
"المعز",148
"الموفق",257
"المحصي",179
"المبدي",87
"المعيد",155
"الماجد",79
"المقدم",215
"المصرف",441
"المقسط",240
"المغني",1131
"المانع",192
"المكرم",331
"الممكن",181
"المبرم",313
"المنذر",1021
"المرسل",361
"الموسع",207
"المنشي",431
"المريد",285
"المحب",81
"المبغض",1873
"المبلي",113
"المرهوب",284
"الممتحن",569
"المثيب",583
"المستجيب",546
"المطعم",190
"الملجأ",105
"المسقي",241
"المعبود",153
"مقلب القلوب ",341
"المنجا",125
"مخزي الكافرين ",1049
"  مخرج  الحي من  الميت ",1463
"مخرج الميت من الحي ",1463
"المنجي",134
"الناصر",372
"النصير",381
"النور",287
"النفس",221
"الهادي",51
"الوهاب",45
"الواسع",168
"الوكيل",97
"الودود",51
"الولي",77
"الواحد",50
"الواجد",45
"الوالي",78
"الوفي",127
"الواقي",148
"الله",66
"الرقيب",343
"المقيت",581
"الرازق",339
"القادر",336
"المتعال",572
"الكفيل",171
"المبين",133
"الكافي",142
"المحيي",99
"الفعال",212
"المتين",531
"الظاهر الباطن ",1230
"السلام",162
"المؤمن",173
"المهيمن",176
"المتكبر",693
"الأكرم",292
"الصمد",165
"ذو انتقام ",1298
"ذو مغفرة ",2031
"شديد العذاب ",1122
"السبوح",107
"النظيف",1071
"الرفيق",421
"المسعر",401
"المعطي",160
"المميت",521
"المنتقم",661
"مالك الملك ",212
"البار",234
"السامع",202
"التام",472
